SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
New Jersey (1914),,NJ/NY Pilots Assoc,Pilot boat,1902,"Tottenville, NY",7/10/1914,1914,7,10,Ambrose Lightship,,,"Collision w/ ""Nanchoneal""",,,148.7,29.4,17.3,478,248,"New York, NY",,,,19,,0,,,,,Y,N,#130992; sunk,
New Orleans,,Boca Grande SS Co,Freighter steam,1872,"Wilmington, DE",10/13/1917,1917,10,13,Five Fathom Bank,38-41-00 N,75-51-00 W,Foundered in gale,Iron,US,249,33,24.4,1564,1017,"Wilmington, DE","Sabine, TX","New York, NY",,27,,1,,,1600 ton sulphur,,Y,N,#18726; Total loss,
New York (1783),,,Merchantman,,,9/19/1783,1783,9,19,Cape May,,,Lost in gale,,,,,,,,"New York, NY","Glasgow, Scotland","New York, NY",Fortney,,,0,,,,,Y,N,,
New York (1856),,G Buckley,Passenger liner,1844,"New York, NY",12/20/1856,1856,12,20,Barnegat Inlet N 2.5 mi,39-47-30 N,74-04-30 W,Grounded in storm,,,,,15,524,,,"Liverpool, England","New York, NY",McKennon,27,301,0,,,Flour; Tobacco,,Y,N,Captain stabbed by crew,"Also see ""Tasso"""
New York (1883),,Morgan Line SS Co,Steamship,1875,"Wilmington, DE",11/4/1883,1883,11,4,Five Fathom Bank Lightship SE 8 mi,,,"Collision w/ ""Blanche Hopkins""",Iron,US,281,38.1,20.2,2284,,"New York, NY","New Orleans, LA","New York, NY",R B Quick,,,0,,,Cotton Molasses,,N,N,"#130043; Rescued crew of ""Blanch Hopkins""",Scrapbook #15
New York (1894),,,Sidewheel steam,1852,,5/21/1894,1894,5,21,"Camden, NJ",,,Burned,,,,,,994,,,,,,,,,,,,,,N,,
New York (1907),,,Schooner,1899,,10/23/1907,1907,10,23,Montauk SW 15 mi,,,Foundered,,,,,,1688,,,,,,,,,,,,,,N,,
New York Packet,,,Sloop,,,5/10/1773,1773,5,10,Sandy Hook S 20 mi,,,Stranded in fog,,,,,,,,,Georgia,"New York, NY",Palmer,,,,,,,,N,N,Believed refloated,
Newark,,,Steamship,1883,,12/15/1906,1906,12,15,"Camden, NJ",,,Burned,,,,,,59,,,,,,4,,0,,,,,,N,#130290,
Newhall,,,Motor vessel diesel,1927,,11/2/1959,1959,11,2,"Black Tom Basin, NJ",,,Burned,,,,,,167,,,,,,,,,,,,,,N,,
Newport (1888),,Pacific Mail,Steamship,1880,"Chester, PA",5/12/1888,1888,5,12,New Jersey coast,38-05-00 N,74-50-00 W,"Collision w/ ""Carrie A Lane""",,,326,38.2,23,1806 ,,"New York, NY","Aspinwall, PA","New York, NY",,,,,,,,,N,N,#130179; Slight Damage,
Newport (1946),,Robert B Wathen,Barge,1919,"Sandy Point, ME",8/18/1946,1946,8,18,Deal Beach E 3.8 mi,40-13-58 N,73-54-36 W,Foundered,,,229.3,37.9,18.8,1321,1193,"New York, NY",,,,,,1,,,,,Y,N,#219001; Total loss,
Next Generation,Elizabeth C II,,Scallop boat,1976,,6/18/2007,2007,6,18,Manasquan River,,,Foundered,Steel,US,54.2,17.4,6.6,43,29,"Cape May, NJ","Pt Pleasant Beach, NJ",Fishing service,,,,,,,,,N,Y,#578102; Salvaged,
Niagara (1847),,,Ship,,,11/25/1847,1847,11,25,Sandy Hook,,,Stranded,,,,,,730,,,"Liverpool, England","New York, NY",,26,274,0,"$56,000","$35,337",,,,N,,
Niagara (1868),,,Sidewheel steam,1849,,1/26/1868,1868,1,26,"Jersey City, NJ",,,Burned,,,,,,411,,,,,,,,,,,,,,N,,
Niagara (1927),,,Motor vessel gas,1914,,8/27/1927,1927,8,27,"Fortescue Beach, NJ",,,Burned,,,,,,6,,,,,,7,,0,,,,,,N,#212411,
Nicanor,,Black Bros & Co,Bark,1886,"Mahone Bay, NS",9/2/1889,1889,9,2,"Egg Harbor Inlet, Outer bar",,,Stranded,,,240,30.8,16.9,453,,"Lunnenberg, NS","Montevideo, SA","New York, NY",Wolfe,13,,0,"$25,000","$18,000",Wool & hides,,N,N,#90861; Refloated without damage,See scrapbooks 38 - 43 - Purple Misc
Nicholas Biddle,,,Schooner,,,12/23/1854,1854,12,23,"Long Branch, NJ",,,Stranded,,,,,,,,,"Stamford, CT","York River, VA",Sprag,,,,,,,,Y,N,Total loss,
Nighthawk,,,,,,~1988,1988,,,,,,No information,,,,,,,,,,,,,,,,,,,Y,N,Local legend - feud led to sinking,
Nightingale (1759),,,,,,4/30/1759,1759,4,30,"Middle Ground, Sandy Hook",,,,,England,,,,,,,,,,,,,,,,,,N,,
Nightingale (1865),,,Steamship,1864,"Mystic, CT",9/26/1865,1865,9,26,Absecon,,,Stranded,,,,,,849,,"New York, NY","Savannah, GA","New York, NY",Breaker,,,,,,,,N,N,#18298; Refloated; lost again in 1868,
Nile (1847),,,Schooner,,,12/16/1847,1847,12,13,Brigantine Beach,,,Stranded,,,,,,,,,,,,,,,,,Mahogany,,,N,,
Nile (1853),,D C Ketcham & Co,Sloop,,,5/18/1853,1853,5,18,Sandy Hook E,,,Stranded in gale,,,,,,,,"New York, NY","Greenbank, NJ","New York, NY",,,,0,,,Glass,,Y,N,Cargo lost; crew saved,
Nile (1854),,,Schooner,,,9/11/1854,1854,9,11,Sandy Hook SE 70 mi,,,,,,,,,,,"Kennebunk, ME","Philadelphia, PA","Gardiner, ME",Ellis,4,,0,,,,,Y,N,"Crew rescued by ""Beethoven""",
Nils S,,Gifford Marine,Fishing boat,,,4/23/1989,1989,4,23,Atlantic City Artificial Reef,39-13-610 N,74-13-045 W,Opened sea cocks,Steel,US,122,24,26,,,NJ AR,AC,8,,,,,,,,,Y,Y,"Sponsor - Ocean City Marlin & Tuna Club, et al",
Nimrod (1840),,,Schooner,,,12/13/1840,1840,12,13,Absecon,,,Wrecked,,,,,,,,,,,,,,,,,,,,N,,
Nimrod (1844),,,Brig,,,1/5/1844,1844,1,5,Little Egg Harbor,,,Grounded,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
Nina USS,,U S Navy,Tug steam,1865,"Chester, PA",2/6/1910,1910,2,6,"Metomkin Inlet, DE",38-30-534 N,74-50-546 W,Foundered in gale,Iron,US,137,26,9,420,,"Navy Yard, Washington, DC","Navy Yard, Norfolk, VA","Boston, MA",John Croghan,32,,32,"$128,888",,,,Y,Y,Total loss,
Niphon,,,Barge,,,~1891,1891,,,Cape Harlopen,,,,,,,,,,,,,,,,,,,,,,,N,,
Nirvana,,,Motor vessel,1931,,3/20/1932,1933,3,20,Cape May,,,Burned,,,,,,35,,,,,,2,,0,,,,,,N,#231172,
No 19,,,Barge,1906,"Tottenville, NY",10/14/1909,1909,10,14,Cold Spring Inlet E 2.5 mi,,,Sank,Wood,,,,,210,210,"New York, NY","Baltimore, MD","Cold Spring, NJ",,1,,0,"$4,000",,,Two mile Beach & Cold Spring,Y,N,"#162934; Lost in tow of ""Major W Allen""",
No 201,,,Steamship,1919,,9/20/1933,1933,9,20,"North Arlington, NJ",,,Stranded,,,,,,197,,,,,,,,,,,,,,N,,
No 21,,Philadelphia Trans & Lightage Co,Barge,,,12/13/1909,1909,12,13,Cold Spring Inlet,,,Capsized,,,,,,600,,"Philadelphia, PA",,,Matthew Cooper,1,,1,"$5,000",,300 tons stone,Cold Spring & Two Mile Beach,Y,N,,
No 22,,,Schooner - Barge,1898,"Bath, ME",1/17/1909,1909,1,17,Barnegat,,,Foundered,Wood,US,190.1,35.3,17.1,936,833,"Baltimore, MD","Baltimore, MD","Boston, MA",,5,,5,,,Coal,,,N,#3754,
No 5 & No 8,,"Ross, Sanford & Co",Scow,,,10/30/1885,1885,10,30,Shark River Inlet ESE 2.5 mi,,,Stranded,Wood,,,,,,,"Jersey City, NJ","Jersey City, NJ","Norfolk, VA",,0,,0,,"$21,000",,Shark River,N,N,Refloated; Towed to New York,
No 9,,,Scow,,,11/19/1914,1914,11,19,Sandy Hook,,,Stranded,,,,,,,,,,,,1,,0,,,,Sandy Hook,,N,,
Nora,,,Sloop gas,,,7/29/1906,1906,7,29,Hereford Inlet E .5 mi,,,Capsized in storm,,,,,,8,,"Somers Point, NJ","Anglesea, NJ",Fishing trip,Herbert M Shivers,2,30,9,"$1,500",,,Hereford Inlet,Y,Y,,
Norbury,,,Merchantman,,,~1777,1777,,,Sandy Hook,,,Wrecked,,Ireland,,,,,,,Cork,"New York, NY",Wood,,,,,,,,Y,N,Crew & cargo saved,
Norden (1924),,,,1919,,12/28/1924,1924,12,28,"Bivalve, NJ",,,Burned,,,,,,21,,,,,,0,,0,,,,,,N,#218647,
Norden (1933),,,Schooner 3 masted,1883,,9/11/1933,1933,9,11,Ambrose Channel Sandy Hook,,,Collision,Wood,Denmark,,,,239,,,Laguna,"Havre, Belgium",,,,,,,,,N,N,Towed to Red Bank,
Nordvind,,H Kuhnles Reden,Freighter,1961,"Bergen, Norway",6/10/1966,1966,6,10,Ambrose Lightship,,,"Collision w/ ""Kamikawa Maru""",,Norway,476.2,62.2,30.75,9556,,,,"New York, NY",,,,,,,,,N,N,Partial loss,
Norfork,,,Steamship,,,11/1857,1857,11,,,,,Sank in gale,,,,,,,,,"Philadelphia, PA","Norfolk, VA",,,,,"$45,000",,,,Y,N,,
Norman,,JM&S Flanagan,Tug steam,1862,"Buffalo, NY",11/17/1886,1886,11,17,Cape May Iron Pier,,,Developed leak,,US,,,,137.69,68.85,"New Orleans, LA","Philadelphia, PA",Searching for tow,A G Fuller,9,,0,"$45,000",,None,"Cold Spring,#39",Y,N,#18533; Total loss,
Norness,,Tanker Corp,Tanker,1939,"Hamburg, Germany",1/14/1942,1942,1,14,,40-16-00 N,70-50-00 W,Torpedoed,,Panama,489.4,65.2,36.2,6007,,Panama,,,,,,,,,,,Y,N,War loss,
Norombega,,,Schooner,1884,"Verona, ME",6/16/1910,1910,6,16,Fire Island SE 20 mi,,,"Collision w/ ""Mills""",Wood,US,137.5,32,9.5,266,211,"Boston, MA","Philadelphia, PA","Callas, ME",Olson,8,,0,,,Coal,,Y,N,#130322,
Norscott,,,Tanker,,,~1961,1961,,,"Shipjohn Shoal Light, Delaware Bay",,,Sank,,,,,,,,,,,,,,,,,,,Y,N,,
North America (1821),,,Ship,,,1/1821,1821,1,,Cape May,,,"Lost rudder, cables & anchor in gale",,,,,,,,,,"Philadelphia, PA",,,,,,,,,N,N,Stood out to sea,
North America (1843),,,Packet ship,1831,"New York, NY",2/14/1843,1843,2,14,Shrewsbury Inlet,40-23-48 N,73-58-00 W,Grounded,,,184.5,31.5,15.8,610,,,"Liverpool, England","New York, NY",Lowber,,,,,,,,Y,N,Total Loss,
North America (1888),,Henry Hastings,Ship,1873,"East Boston, MA",3/29/1888,1888,3,29,Highlands S 25 mi,,,Collision w/ steamer,,,234,41,24,1584,,"Boston, MA","Calcutta, India","New York, NY",B C Creelman,,,,,,,,N,N,#18751; Partial loss,
North Carolina,,,Steamship,1861,"New York, NY",1/30/1903,1903,1,30,"Hereford Inlet, NJ",,,Stranded,Iron,,,,,618,,,,,,,,0,,,,,,N,#10523; Captured as Conferate steamer 6/21/1863,
Northern #17,,Northern Barge Corp,Schooner - Barge,1918,"Havre De Grace, MD",3/10/1928,1928,3,10,Brigantine Shoal,,,Foundered,Wood,,204.6,35,14.7,961,,"Port Wilmington, DE","Hampton Roads, VA","Boston, MA",,4,,0,,,Coal,,,N,#216992,
Northern #19,,Joseph F O'Boyle,Barge,1918,"Baltimore, MD",5/23/1927,1927,5,23,Sandy Hook Romer Shoal,,,Collision w/ submerged object,Wood,,202.4,30.2,12.8,739,686,"New York, NY",,,,,,0,,,,,,N,#167144,
Northern #29,,Joseph P Martin,Barge,1918,"South Jacksonville, FL",12/10/1933,1933,12,10,Beach Haven E 8 mi,39-31-54 N,74-03-42 W,Foundered,Wood,,215.5,40.5,16.3,1267,,"Philadelphia, PA","Hampton Roads, VA","Montville, NJ",,4,,0,,,Coal,,Y,N,#216265; Total loss,
Northern #30,,Northern Barge Corp,Schooner,1918,"South Jacksonville, FL",3/10/1928,1928,3,10,Absecon Light,,,Foundered,Wood,US,215.5,40.5,16.3,1264,1198,"Wilmington, DE","Hampton Roads, VA","Boston, MA",,,,,,,Coal,,,N,#216421,
Northern #34,,,Schooner - Barge,1919,"Havre De Grace, MD",2/4/1924,1924,2,4,Sandy Hook False Hook,,,Stranded,,,246.7,43.5,23.2,1946,1840,"Wilmington, DE",,,,5,,0,,,Coal,,,N,#218663,
Northern #35,,Northern Barge Corp,Schooner - Barge,1920,"Manistee, MI",2/14/1927,1927,2,14,Five Fathom Bank Lightship,38-44-30 N,74-37-50 W,Foundered,Wood,US,246.2,43,24.4,2051,1907,"Wilmington, DE","Hampton Roads, VA","Providence, RI",,5,,0,,,Coal,,Y,N,#219829; Sank,
Northern #8,,,Barge,1916,"Solomons, MD",1/6/1924,1924,1,6,"Long Branch, NJ",,,Stranded,Wood,,,,,673,,"Wilmington, DE",,,,3,,0,,,,,Y,N,#165558; Total loss,
Northern Liberties,,,Sloop,,,9/12/1838,1838,9,12,Cape May Great Shoal,,,Grounded,,,,,,,,,,,,,,,,,Coal,,Y,N,"Lost; See sloop ""Caledonia""",See scrapbooks 38 - 43 - Purple Misc
Northern Light (1871),,,Schooner,,,8/8/1871,1871,8,8,Cape May,,,Damaged by lightening,,,,,,,,"Tremont, ME","Philadelphia, PA","Vineyard Haven, MA",,,,,,,,,N,N,,
Northern Light (1874),,,Schooner,,,5/13/1874,1874,5,13,Brigantine Beach,,,Stranded,,,,,,240,,,"Boston, MA","Atlantic City, NJ",Ireland,6,,0,,,Ice,,Y,N,Total loss,
Northern Light (1877),,,Schooner,1874,"Cold Spring, NJ",12/20/1877,1877,12,20,Cold Spring Inlet,,,Stranded,,,47,15,3,18.69,17.76,"Cape May, NJ","Philadelphia, PA","Cape May, NJ",McKean,2,,0,"$1,500",$88,Coal,Two Mile Beach # 38,N,N,#130059; Partial loss,
Northern Light (1884),,,Schooner,1874,"Cold Spring, NJ",9/9/1884,1884,9,9,Turtle Gut Inlet North bar,,,Stranded,,,47,15,3,18.69,17.76,"Cape May, NJ","Philadelphia, PA","Holly Beach, NJ",Barnett,2,,0,"$1,500",$88,Coal,,N,N,#130059; Refloated,
Northern Pacific,,Great Northern SS Co,Passenger liner,1915,"Philadelphia, PA",2/8/1922,1922,2,8,Cape May SE 25 mi,38-38-343 N,74-23-892 W,Burned & sank,Steel,US,509.5,63.1,20.6,8255,4184,,"New York, NY","Chester, PA",Lustie,28,0,4,,,None,,Y,Y,#212926; In route for refit; total loss,
Norumbega ,,John A McKinnon,Schooner,1890,"Essex, MA",4/24/1906,1906,4,24,Fenwick Is Light NE 7 mi,,,"Collision w/ ""Edith L Allen""",Wood,US,107.5,23,10.5,126,91,"Gloucester, MA","Gloucester, MA",Fishing service,John A McKinnon,17,,1,"$9,000",,,,Y,N,#13047; total loss,
Norwood,,E Roy,Ship,1891,"Maitland, NS",10/17/1895,1895,10,17,Long Beach LSS NE 1.75 mi,,,Stranded,Wood,Canada,235.3,42.7,24,1795,1597,"Maitland, NS","Chochin, India","New York, NY",Alex Douglas,21,2,0,"$38,000","$160,000",Coconut oil,Long Beach & Ship Bottom,N,N,Refloated,
Number 9,,Capt Jim Lees,Tow boat,,,7/31/1995,1995,7,31,Barnegat Light Artificial Reef,39-45-127 N,74-01-297 W,Opened sea cocks,Aluminum,US,40,12,6,,,NJ AR,BL,26,,,,,,,,,Y,Y,Sponsor - Artificial Reef Assoc,
Number Eight,,,Schooner,1899,"Bath, ME",7/20/1916,1916,7,20,"Sea Girt, NJ",,,"Collision w/ ""Comus""",,,193.6,34.9,17.1,924,810,"Baltimore, MD",,,,5,,0,,,,,,N,#130804,
Number Twenty-six,,,Schooner - Barge,1906,"Camden, NJ",11/25/1907,1907,11,25,Barnegat Light,,,Foundered,Steel,,227,38.1,19.6,1566,,"Baltimore, MD",,,,6,,0,,,,,,N,#203544,
Nuphar,,J Robinson & Co,Steamship,1881,"Newcastle, England",9/23/1882,1882,9,23,Townsends Inlet SE 2 mi,,,Wrecked,Iron,England,287,37,21.9,1963,1280,"North Shields, England","New Castle, England","Philadelphia, PA",Brooks,23,,0,"$150,000","$150,000",General,,Y,N,#84860; Total loss,
Nymph,,,Merchantman,,,11/1789,1789,11,,Barnegat,,,Wrecked,Wood,US,,,,,,,"Oporto, Portugal","New York, NY",Palmer,,,,,,,,Y,N,Total loss,
O - 21,,,Scow,,,6/17/1926,1926,6,17,Scotland Lightship,,,Sank,,,,,,,,,,,,,,,,,,,Y,N,"Total loss; Towed by ""O L Hallenbeck""",
O H Tolly,,,Schooner,,,8/23/1872,1872,8,23,Tuckerton Great Swamp,,,Grounded in storm,,,,,,62,,"Mays Landing, NJ",,,Elias C Akeley,,,,"$5,000",,Charcoal,,Y,N,#18807; Broke rudder; Total loss,
O K,,,Schooner,,,4/18/1846,1846,4,18,"Dead Man's Shoal, Cape May",,,Stranded; sank,,,,,,,,,"Philadelphia, PA","Newark, NJ",Bell,1,,1,,,Coal,,Y,N,Total loss,
O M Marrett (1876),,C McKown,Schooner,1869,"Booth Bay , ME",5/22/1876,1876,5,22,Sandy Hook SE 80 mi,,,"Collision w/ ""John Cadwalader""",,,100,26,9,194,,"Brooklyn, NY","New York, NY",Barbados, ,7,,0, , , ,,N,N,#19312; Lost headsails; Repaired,
O M Marrett (1877),,C McKown,Schooner,1869,"Booth Bay , ME",2/6/1877,1877,2,6,Little Egg Harbor LSS N 1 mi,,,Stranded,,,100,26,9,194,,"Brooklyn, NY",Puerto Rico,"New York, NY",Reed,7,,0,"$12,000","$3,000",Oranges,Little Egg #23,N,N,#19312; Refloated; Towed to NY,See Misc File Drawer
O M Remington,,,Schooner,,,11/24/1877,1877,11,24,Barnegat,,,Damaged in gale,,,,,,,,,Porto Bello,"New York, NY",,,,,,,,,N,N,Lost sails & boom,
O P Binns (1877),,,Schooner,,,3/27/1877,1877,3,27,Barnegat Light S 8 mi,,,"Collision w/ ""Sophia T Winterton""",,,,,,113.55,,"New York, NY",,,,,,,,,,,N,N,#19024; Repaired,
O P Binns (1878),,,Schooner,,,6/1/1878,1878,6,1,Cape May,,,Stranded,,,,,,113.55,,"New York, NY","Fredericksburg, VA","New York, NY",Steelman,6,,0,"$2,000","$1,000",Railroad ties,Cape May #39,,N,#19024,
Oak Hill,,Reading Rail Co,Schooner - Barge,1897,"Noank, CT",8/24/1904,1904,8,24,Barnegat NE 20 mi,,,"Collision w/ ""Gladys""",,,194.4,34.8,17.6,910,843,"Philadelphia, PA","Port Richmond, PA","Boston, MA",John Seeman,5,,0,"$15,834","$7,000",1549 ton coal,,,N,#155308; 2nd of 3 barges in tow,
Oak Point,,Gallagher Bros,Barge,1926,"Kingston, NY",1/8/1956,1956,1,8,Sandy Hook Romer Shoal,,,Stranded,Wood,,116,35.8,8.7,356,356,"New York, NY",,,,,,,,,,,Y,N,#251875; Total loss,
Oakland,,,Barge,1866,"Brunswick, ME",2/18/1900,1900,2,18,Barnegat,,,Unknown,Wood,US,186.7,37.5,23.8,1241,1219,"Boston, MA","Newport News, VA","Providence, RI",,,,,,,Coal,,Y,N,#199167; Total loss,
Obed Baxter,,,Bark,1876,"Newburyport, MA",1898,1898,,,,,,,,,230.2,34,19,916,876,"Newburyport, MA",,,,,,,,,,,,N,#19455,See scrapbooks 38 - 43 - Purple Misc
Obstruction #1,Dive boat capt nickname,,,,,,,,,Beach Haven E 2.5 mi,39-32-42 N,74-11-18 W,,,,,,,,,,,,,,,,,,,Diving wreck,Y,N,48 ft; Unknown history,See scrapbooks 38 - 43 - Purple Misc
Ocean,,,Sloop,,,9/9/1838,1838,9,9,Cape May,,,Stranded; Grounded,,,,,,,,"Brookhaven, NY",,,Strong,,,0,,,,,,N,"Also see ""Caledonia""",See scrapbooks 38 - 43 - Purple Misc
Ocean Endeavour,,,Freighter,,,10/25/1980,1980,10,25,Barnegat N 1.5 mi,,,Stranded in storm,,Panama,233,,,,,Panama,"New York, NY","Jacksonville, FL",Chris Ragondon,14,,0,,,,,N,Y,Refloated,
Ocean Nymph,,,Schooner,,,4/2/1853,1853,4,2,Highland Lights SE 14 mi,,,"Collision w/ ""Sarah Jane""",,,,,,,,"Gloucester, MA",,,Elwell,,,0,,,,,Y,N,Sank; Total loss,
Ocean Star (1882),,,Sloop,1875,"Absecon, NJ",2/28/1882,1882,2,28,Townsends Inlet North bar,,,Stranded,,,,,,13,,"Somers Point, NJ","Hog Island, VA","Townsends Inlet, NJ",Ryder,3,,0,"$1,500",$150,Oysters,Townsend #34,N,N,#19443; Refloated,
Ocean Star (1883),,,Sloop,1875,"Absecon, NJ",8/21/1883,1883,8,21,Egg Harbor Inlet,,,Capsized,,,,,,13,,"Somers Point, NJ",,,,,,,,,,,Y,N,#19443; Total loss,
Ocean Wave,,,Schooner,,,11/17/1844,1844,11,17,Cape May,,,Struck submerged object,,,,,,,,"Great Egg Harbor, NJ","Hartford, CT","Philadelphia, PA",Foster,,,,,,Stone,,Y,N,Sunk; crew saved,See Misc File Drawer
Ocean Wreck Divers I,MLB-CG44333,U S Coast Guard,Rescue boat,1960,Maryland,7/11/1995,1995,7,11,Garden State South Artificial Reef,39-33-426 N,74-05-973 W,Opened sea cocks,Steel,US,44,13,13,20,,NJ AR,GSS,30,,,,,,,,,Y,Y,Sponsor - Ocean Wreck Divers,
Ocean Wreck Divers III,YON-84,U S Navy,Tanker barge,1942,"Grange, TX",10/8/1997,1997,10,8,Axel Carlson Artificial Reef,40-00-587 N,73-59-555 W,Explosives,Steel,US,174,40,,,,NJ AR,AXC,11,,,,,,,,,Y,Y,Sponsor - Ocean Wreck Divers,
Ocean Wreck Divers IV,,Charlie Chillemi,Tanker,1997,"North Arlington, NJ",8/7/1998,1998,8,7,Sea Girt Artificial Reef Reef,40-07-750 N,73-56-345 W,Opened hull,Steel,US,85,30,20,,,NJ AR,SG,71,,,,,,,,,Y,Y,Sponsor - Ocean Wreck Divers,
Octoraro,,Reading Rail Co,Schooner - Barge,1919,"Baltimore, MD",1/25/1935,1935,1,25,Delaware Bay,,,Foundered,,,179.2,34.7,15.6,807,734,"Philadelphia, PA",,,,6,,,,,,,,N,#217556,
Ohio,,,Sloop,,,6/1825,1825,6,,Cape May,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
Ohioan,,Maryland Steel Co,Steamship,1914,"Sparrow Point, MD",11/23/1933,1933,11,23,Ambrose Channel Sandy Hook,,,"Collision w/ ""SS Liberty""",,,407.7,53.7,28.1,6525,,"New York, NY",,,,,,,,,,,Y,N,#212314; Crew rescued,
Oklahoma,,Gulf Refining Co,Tanker steam,1908,"Camden, NJ",1/4/1914,1914,1,4,Seaside Heights E 7 mi,39-56-50 N,73-55-10 W,Foundered in storm,Steel,US,419,55.2,28.8,5853,3795,"Port Arthur, TX","New York, NY","Port Arthur, TX",,39,,26,,,In ballast,,Y,Y,#205040; Broke in two,
Old Mud Digger,Dive boat capt nickname,,Dredge,,,,,,,Atlantic City E,39-18-30 N,74-25-18 W,,,,,,,,,,,,,,,,,,,Diving wreck,Y,N,36 ft; Unknown history,
Olive (1841),,,Bark,,,8/1841,1841,8,,"Quarantine pound, NY",,,Burned,,,,,,,,,"Apalachicola, FL",,,,,,,,734 bales cotton,,,N,,
Olive (1842),,,Schooner,,,1/6/1842,1842,1,6,Absecon Beach,,,Stranded,,,,,,,,,"Wilmington, DE","New York, NY",Marshall,,,0,"$13,000",,,,,N,,
Olive Baker,,,Tug steam,1864,"Brooklyn, NY",2/8/1888,1888,2,8,Sandy Hook point,,,Stranded,,,74,14,7,46,22.83,"New York, NY",,,Parker,7,,0,"$10,000",,,,N,N,# 19052 Refloated,
Olive T Whittier,,Chase Leavitt & Co,Schooner 3 masted,1891,"Rockland, ME",2/22/1904,1904,2,22,Long Branch NE 1 mi,,,Grounded in storm,Wood,US,152,35.5,12.4,562,493,"Portland, ME","Fernandina, FL","New York, NY",F P Whittier,7,, ,"$20,000","$4,500",Lumber,Long Beach #21,Y,Y,#155215; Total loss,
Oliver H Booth,,,Schooner,1856,"Poughkeepsie, NY",11/10/1885,1885,11,10,Great Egg Harbor Inlet,,,Stranded,,,120,33,9.7,243,230.7,"New York, NY",Virginia,"New York, NY",Bowen,7,,0,"$9,000","$1,320",Cord wood,,N,N,#19020; Refloated,
Oliver Jameson,,,Schooner,1853,"Thomaston, ME",3/10/1874,1874,3,10,Barnegat,,,Damaged in gale,,,101,20,10,201,,"Rockland, ME","Baltimore, MD","Bath, ME",Jameson,,,,,,,,N,N,,See scrapbooks 38 - 43 - Purple Misc
Oliver M Petit,,,Schooner,1854,"Westport, CT",12/9/1867,1867,12,9,Cape May,,,Wrecked,,,113,28.6,9,225,,"Boston, MA","Baltimore, MD","Providence, RI",A Eldridge,5,, ,,,Grain,,Y,N,Vessel lost,
Oliver Scofield,,,Schooner 3 masted,1867,"Toltenville, NY",12/4/1900,1900,12,4,"Lavallette City, NJ",39-59-24 N,74-03-30 W,Wrecked,Wood,US,130,31.5,14.6,394,374,"New London, CT","Norfolk, VA","New York, NY",Bragg,6,,0,"$5,000","$4,000",Lumber,,Y,N,#19220 Total loss,
Olivette,,,Yacht steam,,,6/23/1889,1889,6,23,"Newark Bay, NJ",,,Capsized,,,,,,5,,,"Newark, NJ",Pleasure cruise,,,,6,,,,,N,N,Partial loss,
Olsen,,F H Snow Canning Co,Clam boat,1947,"St Augustine, FL",4/17/1961,1961,4,17,Manasquan Inlet SE 1 mi,40-04-40 N,73-59-42 W,Foundered,,,,,,56,,"Philadelphia, PA",,Fishing service,,,,,,,,,,N,#254052,
Olympic Dale,,Greenville Trans. Corp,Tanker,1954,"Kiel, Germany ",7/12/1975,1975,7,12,Cape May SE 12.2 mi,,,Stranded,,Liberia,590.6,74,31.7,13713,,,,Delaware River,,,,,,,"200,000 bbls diesel fuel",,N,N,Refloated,
Olympic Javelin,,Puskas Enterprises,Fishing boat,1973,,4/5/1984,1984,4,5,Barnegat Inlet North Shoal,,,Struck breakwater,Steel,US,71.2,22,10.6,114,78,"Philadelphia, PA",,Fishing service,Lou Puskas,,,,,,Tile fish,,N,Y,#552675; IMO #7515767; Refloated,
Omega,,C B Swain,Brig,1866,"Sydney, Cape Breton",5/5/1871,1871,5,5,Brigantine Shoal,,,Stranded in fog,,England,,,12,326,,"Sydney, Cape Breton",,"New York, NY",Kerr,,,0,,,502 hogsheads & 50 tierres sugar,,,N,,
Onandaga,,Carbon Service Co,Tanker barge,,,7/19/1993,1993,7,19,Cape May Artificial Reef,38-53-770 N,74-39-975 W,Explosives,Steel,US,205,40,13,,,NJ AR,CM,84,,,,,,,,,Y,Y,"Sponsor - Artificial Reef Assoc, et al",
One More,,,Yacht motor,,,7/19/1961,1961,7,19,Brielle,,,Explosion; Burned,,,,,,,,"Brielle, NJ",,Fishing trip,,6,,6,,,,,Y,N,Total loss,
Oneida,,Samuel B Davis,Schooner,1865,"Waldoboro, ME",8/30/1871,1871,8,30,Squan Inlet S 2.5 mi,,,Stranded,,,,,12,270,,"Boston, MA","Boston, MA","Philadelphia, PA",,,,,,,In ballast,,Y,N,Total loss,
Only Son,,,Steamship,,,7/1859,1859,7,,Sandy Hook,,,Wrecked,,,,,,,,,,,,8,,0,,,,,,N,,
